beta,se_dk,lo_dk,hi_dk,t_crve,p_wc,n_obs,n_states,n_districts,model,sector,h
-0.026349088080597733,0.053573875623994446,-0.11447027171057204,0.061772095549376585,-0.9042396684798083,0.332,5400,45,12,B_horserace,mining,12
0.0024595544089967727,0.016311250828410076,-0.024370065676228743,0.02928917449422229,0.11257538900315027,0.941,5940,45,12,B_horserace,construction,0
0.01618487802666588,0.024672418413898344,-0.02439763888709909,0.05676739494043086,0.7522614660583632,0.548,5895,45,12,B_horserace,construction,1
-0.010244846925651608,0.022367875975740165,-0.04703672885154851,0.0265470350002453,-0.7921120511808044,0.513,5850,45,12,B_horserace,construction,2
-0.03018194335486563,0.029231200320597894,-0.0782629892223461,0.01789910251261485,-1.905643517106096,0.37,5805,45,12,B_horserace,construction,3
-0.042447104804239966,0.0340372405276944,-0.09843338333763774,0.013539173729157798,-2.430666880451174,0.059,5760,45,12,B_horserace,construction,4
-0.02385050057439762,0.029068428662359237,-0.07166381088945933,0.023962809740664098,-1.287247208563422,0.229,5715,45,12,B_horserace,construction,5
-0.01117000022000631,0.02964350940290592,-0.05992923417694618,0.037589233736933556,-0.6823300207881062,0.501,5670,45,12,B_horserace,construction,6
-0.010889442203230924,0.0297000690922583,-0.0597417085703413,0.03796282416387945,-0.4562040056766674,0.625,5625,45,12,B_horserace,construction,7
-0.03191752868821632,0.03520709587781633,-0.08982804803727072,0.025992990660838086,-1.2434914177563876,0.176,5580,45,12,B_horserace,construction,8
-0.03409766137934088,0.03673481772274873,-0.09452105954600534,0.026325736787323584,-1.22341880886648,0.198,5535,45,12,B_horserace,construction,9
-0.017617935211759122,0.03513005803284281,-0.07540173858209631,0.04016586815857806,-0.7584839757385451,0.474,5490,45,12,B_horserace,construction,10
0.004655282790275677,0.03704525622025033,-0.05627874126494966,0.06558930684550102,0.2051807831508257,0.869,5445,45,12,B_horserace,construction,11
-0.02867965372874208,0.03666106441176169,-0.08898173849432983,0.031622431036845665,-1.5432139146538697,0.185,5400,45,12,B_horserace,construction,12
0.035774467351801786,0.029578730272787918,-0.01287821441801272,0.0844271491216163,0.898982632534871,0.754,5940,45,12,B_horserace,trade_transport,0
0.014468259820353657,0.03680766532152557,-0.0460749619833736,0.07501148162408092,0.497321693826425,0.709,5895,45,12,B_horserace,trade_transport,1
0.00800725971120877,0.04776243623782371,-0.07055495676661397,0.08656947618903152,0.5586174872625715,0.598,5850,45,12,B_horserace,trade_transport,2
-0.01761113740836425,0.056781899623534256,-0.111009050949329,0.07578677613260049,-0.7675487235547014,0.511,5805,45,12,B_horserace,trade_transport,3
-0.028158633504492974,0.06039032527187957,-0.1274918790607232,0.07117461205173727,-1.013936534092639,0.469,5760,45,12,B_horserace,trade_transport,4
