code,periodo,valor,variable,price_base
IND,2005-Q2,11769663.5,conh_vol,Q
IND,2005-Q3,11929369.7,conh_vol,Q
IND,2005-Q4,12218570.9,conh_vol,Q
IND,2006-Q1,12461929.6,conh_vol,Q
IND,2006-Q2,12689408.0,conh_vol,Q
IND,2006-Q3,13046616.7,conh_vol,Q
IND,2006-Q4,13216195.6,conh_vol,Q
IND,2007-Q1,13527998.7,conh_vol,Q
IND,2007-Q2,13838679.2,conh_vol,Q
IND,2007-Q3,14174225.5,conh_vol,Q
IND,2007-Q4,14537480.1,conh_vol,Q
IND,2008-Q1,14841493.1,conh_vol,Q
IND,2008-Q2,15074900.6,conh_vol,Q
IND,2008-Q3,15222984.5,conh_vol,Q
IND,2008-Q4,15495865.2,conh_vol,Q
IND,2009-Q1,15736671.7,conh_vol,Q
IND,2009-Q2,16028843.6,conh_vol,Q
IND,2009-Q3,16390654.6,conh_vol,Q
IND,2009-Q4,16721520.9,conh_vol,Q
IND,2010-Q1,16933867.6,conh_vol,Q
IND,2010-Q2,17458224.1,conh_vol,Q
IND,2010-Q3,17881161.2,conh_vol,Q
IND,2010-Q4,18063260.8,conh_vol,Q
IND,2011-Q1,18409815.1,conh_vol,Q
IND,2011-Q2,20190758.7,conh_vol,Q
IND,2011-Q3,18859321.2,conh_vol,Q
IND,2011-Q4,19285390.9,conh_vol,Q
IND,2012-Q1,19856932.5,conh_vol,Q
IND,2012-Q2,20038497.5,conh_vol,Q
IND,2012-Q3,20511318.2,conh_vol,Q
IND,2012-Q4,20853504.9,conh_vol,Q
IND,2013-Q1,21066891.9,conh_vol,Q
IND,2013-Q2,21566532.4,conh_vol,Q
IND,2013-Q3,21814748.4,conh_vol,Q
IND,2013-Q4,22454159.5,conh_vol,Q
IND,2014-Q1,22657707.5,conh_vol,Q
IND,2014-Q2,23007798.3,conh_vol,Q
IND,2014-Q3,23441715.6,conh_vol,Q
IND,2014-Q4,23534883.2,conh_vol,Q
IND,2015-Q1,24166871.0,conh_vol,Q
IND,2015-Q2,24661739.4,conh_vol,Q
IND,2015-Q3,25061769.6,conh_vol,Q
IND,2015-Q4,25556147.0,conh_vol,Q
IND,2016-Q1,26336029.3,conh_vol,Q
IND,2016-Q2,26608494.1,conh_vol,Q
IND,2016-Q3,27363722.2,conh_vol,Q
IND,2016-Q4,27935821.4,conh_vol,Q
IND,2017-Q1,27969129.4,conh_vol,Q
IND,2017-Q2,28640992.2,conh_vol,Q
IND,2017-Q3,28809291.6,conh_vol,Q
IND,2017-Q4,29291260.5,conh_vol,Q
IND,2018-Q1,29990648.4,conh_vol,Q
IND,2018-Q2,30376389.4,conh_vol,Q
IND,2018-Q3,31050579.2,conh_vol,Q
IND,2018-Q4,31484502.3,conh_vol,Q
IND,2019-Q1,32096504.9,conh_vol,Q
IND,2019-Q2,32467318.0,conh_vol,Q
IND,2019-Q3,32884937.9,conh_vol,Q
IND,2019-Q4,33001472.8,conh_vol,Q
IND,2020-Q1,33115660.5,conh_vol,Q
IND,2020-Q2,25446579.5,conh_vol,Q
IND,2020-Q3,31373299.5,conh_vol,Q
IND,2020-Q4,33241292.1,conh_vol,Q
IND,2021-Q1,34454199.5,conh_vol,Q
IND,2021-Q2,30384214.7,conh_vol,Q
IND,2021-Q3,36258444.3,conh_vol,Q
IND,2021-Q4,36907931.7,conh_vol,Q
IND,2022-Q1,35504135.2,conh_vol,Q
IND,2022-Q2,36218661.5,conh_vol,Q
IND,2022-Q3,36941144.4,conh_vol,Q
IND,2022-Q4,37730648.2,conh_vol,Q
IND,2023-Q1,38337829.4,conh_vol,Q
IND,2023-Q2,38679614.9,conh_vol,Q
IND,2023-Q3,39182436.6,conh_vol,Q
IND,2023-Q4,39685810.9,conh_vol,Q
IND,2024-Q1,40304703.0,conh_vol,Q
IND,2024-Q2,40697281.1,conh_vol,Q
IND,2024-Q3,41404916.1,conh_vol,Q
IND,2024-Q4,42055711.4,conh_vol,Q
IND,2025-Q1,42840600.3,conh_vol,Q
IND,2025-Q2,43833023.3,conh_vol,Q
IND,2025-Q3,44529625.3,conh_vol,Q
IND,2025-Q4,45421598.0,conh_vol,Q
IND,2026-Q1,46154464.0,conh_vol,Q
IND,2004-Q2,19498484.2,gdp_vol,Q
IND,2004-Q3,19959283.1,gdp_vol,Q
IND,2004-Q4,20383584.4,gdp_vol,Q
IND,2005-Q1,20778531.0,gdp_vol,Q
IND,2005-Q2,21379248.5,gdp_vol,Q
IND,2005-Q3,21698875.0,gdp_vol,Q
IND,2005-Q4,22240696.1,gdp_vol,Q
IND,2006-Q1,22786539.1,gdp_vol,Q
IND,2006-Q2,23105685.9,gdp_vol,Q
IND,2006-Q3,23822215.8,gdp_vol,Q
IND,2006-Q4,24397888.4,gdp_vol,Q
IND,2007-Q1,24941600.3,gdp_vol,Q
IND,2007-Q2,25472608.5,gdp_vol,Q
IND,2007-Q3,25880909.8,gdp_vol,Q
IND,2007-Q4,27170496.7,gdp_vol,Q
IND,2008-Q1,27178879.8,gdp_vol,Q
IND,2008-Q2,27347455.4,gdp_vol,Q
IND,2008-Q3,27497382.8,gdp_vol,Q
IND,2008-Q4,27734681.3,gdp_vol,Q
IND,2009-Q1,27236224.3,gdp_vol,Q
IND,2009-Q2,28720821.9,gdp_vol,Q
IND,2009-Q3,29444603.1,gdp_vol,Q
IND,2009-Q4,30093487.5,gdp_vol,Q
IND,2010-Q1,30869040.4,gdp_vol,Q
IND,2010-Q2,31654011.5,gdp_vol,Q
IND,2010-Q3,32404719.7,gdp_vol,Q
IND,2010-Q4,33274392.9,gdp_vol,Q
IND,2011-Q1,34017192.3,gdp_vol,Q
IND,2011-Q2,34615253.2,gdp_vol,Q
IND,2011-Q3,34091262.5,gdp_vol,Q
IND,2011-Q4,34768879.1,gdp_vol,Q
IND,2012-Q1,35387211.8,gdp_vol,Q
IND,2012-Q2,35906084.3,gdp_vol,Q
IND,2012-Q3,36338082.7,gdp_vol,Q
IND,2012-Q4,36807101.4,gdp_vol,Q
IND,2013-Q1,37388232.8,gdp_vol,Q
IND,2013-Q2,37942750.7,gdp_vol,Q
IND,2013-Q3,38575966.9,gdp_vol,Q
IND,2013-Q4,39390925.3,gdp_vol,Q
IND,2014-Q1,39881618.1,gdp_vol,Q
IND,2014-Q2,40776949.2,gdp_vol,Q
IND,2014-Q3,41531821.4,gdp_vol,Q
IND,2014-Q4,42143114.3,gdp_vol,Q
IND,2015-Q1,42883840.3,gdp_vol,Q
IND,2015-Q2,43786928.8,gdp_vol,Q
IND,2015-Q3,44608755.4,gdp_vol,Q
IND,2015-Q4,45516788.2,gdp_vol,Q
IND,2016-Q1,46803826.7,gdp_vol,Q
IND,2016-Q2,47671732.8,gdp_vol,Q
IND,2016-Q3,48742184.3,gdp_vol,Q
IND,2016-Q4,49397782.6,gdp_vol,Q
IND,2017-Q1,49825131.0,gdp_vol,Q
IND,2017-Q2,50810679.0,gdp_vol,Q
IND,2017-Q3,51668415.4,gdp_vol,Q
