code,date,e
CHE,2006-07-01,1.2373590129282268
CHE,2006-10-01,1.2351498165223667
CHE,2007-01-01,1.2328593114211468
CHE,2007-04-01,1.2225725912353367
CHE,2007-07-01,1.1986718829085634
CHE,2007-10-01,1.14538318997793
CHE,2008-01-01,1.06829131310835
CHE,2008-04-01,1.0321524448181834
CHE,2008-07-01,1.07373850304285
CHE,2008-10-01,1.16033768115942
CHE,2009-01-01,1.1498545454545466
CHE,2009-04-01,1.1114069264069233
CHE,2009-07-01,1.0617952820126733
CHE,2009-10-01,1.0213389798607166
CHE,2010-01-01,1.0570363354037267
CHE,2010-04-01,1.1086608946608933
CHE,2010-07-01,1.0312121212121201
CHE,2010-10-01,0.973926846100759
CHE,2011-01-01,0.9415074879227053
CHE,2011-04-01,0.8700577200577199
CHE,2011-07-01,0.8251416023589937
CHE,2011-10-01,0.9121522366522367
CHE,2012-01-01,0.920890331890332
CHE,2012-04-01,0.936559696342305
CHE,2012-07-01,0.9619352437417653
CHE,2012-10-01,0.9305348829914046
CHE,2013-01-01,0.9303653899240855
CHE,2013-04-01,0.9424777922077924
