code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,src_gdp,src_cons_hh,src_cons_gov,src_inv,src_capform,src_exports,src_imports
JPN,1964-01-01,7552537.144126844,3751120.7246443173,888558.2012707861,2758227.2207355606,3092139.0751990657,631392.8421573216,732616.221966834,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1964-04-01,7905279.26924285,3963382.13747949,898500.16661287,2825352.3564061327,3129408.9906768603,681017.4477448787,718810.5440724043,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1964-07-01,8085706.082127958,4048118.3525174577,945080.8488530717,2946326.1486312444,3142448.837035096,710822.5470763763,711920.4175357737,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1964-10-01,8306338.899922424,4136361.861224215,982392.9259536413,3034155.1643219236,3175156.3476405055,793134.1699969495,734065.4367734316,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1965-01-01,8570963.089598214,4279459.442910848,1023626.3359979016,3024870.9131918307,3191433.035293339,852921.3285372308,740879.2888465571,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1965-04-01,8770424.890685199,4413812.172383298,1037648.0719783703,2985443.7933927025,3230675.882607841,875572.1928298702,763583.6541499194,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1965-07-01,9051109.85165632,4551695.577482331,1067553.1868519692,3028398.928621266,3324852.5507506547,891169.9420135291,762109.0145221534,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1965-10-01,9073524.63179745,4711394.349201237,1117302.6229860622,3071973.0139251696,3140229.288718801,869100.5173176875,772151.818883663,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1966-01-01,9612263.466914453,4911590.671815773,1148396.0205698705,3190254.3733225544,3380495.393957785,980635.7999729607,813568.852566952,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1966-04-01,10194966.635577267,5082302.3456546785,1193828.0295235363,3594954.880083308,3826254.6808137908,983922.1976939909,851375.5616443312,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1966-07-01,10583831.976940015,5227130.192217915,1236289.3317016794,3748856.8163164826,4033042.598948651,1031650.8045963382,888978.8721523634,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1966-10-01,10824229.817995235,5440373.647280349,1247974.1116854034,3811463.616437076,4021143.353808511,1074070.615180098,935124.9225729709,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1967-01-01,11376217.437514113,5636735.328817008,1282236.2631631028,3986378.9077280285,4429231.973407391,1063705.8223676179,977787.7724935105,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
